id,rating,total_trips,status,created_at,deleted_at
user_00007,,,active,2025-04-14 19:57:57,
user_00008,,,active,2025-06-10 00:35:45,
user_00015,,,active,2025-07-03 20:22:29,
user_00016,,,active,2025-05-17 19:26:29,
user_00019,,,active,2025-01-26 12:11:32,
user_00020,,,active,2025-04-17 18:20:03,
user_00021,,,active,2025-07-02 09:46:23,
user_00023,,,active,2025-05-18 09:14:07,
user_00024,,,active,2025-05-27 16:19:23,
user_00026,,,active,2025-02-06 11:29:41,
user_00027,,,active,2025-03-14 22:41:19,
user_00031,,,active,2025-02-12 13:05:07,
user_00032,,,active,2025-04-30 10:46:24,
user_00033,,,active,2025-02-07 21:07:20,
user_00034,,,active,2025-04-10 04:25:53,
user_00038,,,active,2025-04-07 12:30:00,
user_00040,,,active,2025-04-25 20:32:25,
user_00044,,,active,2025-06-21 02:40:12,
user_00045,,,active,2025-07-05 02:03:03,
user_00050,,,active,2025-06-19 11:11:38,
user_00052,,,active,2025-03-22 08:50:23,
user_00055,,,active,2025-05-27 01:32:29,
user_00059,,,active,2025-05-26 17:44:05,
user_00065,,,active,2025-04-21 15:32:33,
user_00066,,,active,2025-06-17 21:50:38,
user_00068,,,active,2025-05-29 00:56:52,
user_00069,,,active,2025-04-10 07:25:05,
user_00070,,,active,2025-06-25 10:38:57,
user_00071,,,active,2025-02-26 12:17:08,
user_00074,,,active,2025-03-17 17:04:29,
user_00078,,,active,2025-04-02 14:34:49,
user_00084,,,active,2025-07-05 12:36:58,
user_00086,,,active,2025-07-06 15:27:42,
user_00088,,,active,2025-07-07 00:21:26,
user_00090,,,active,2025-04-30 10:51:48,
user_00092,,,active,2025-06-26 04:05:11,
user_00094,,,active,2025-03-23 01:04:16,
user_00095,,,active,2025-07-12 14:18:35,
user_00107,,,active,2025-05-20 03:56:07,
user_00111,,,active,2025-01-18 02:40:02,
user_00112,,,active,2025-07-04 09:17:09,
user_00113,,,active,2025-03-04 20:01:45,
user_00115,,,active,2025-03-02 19:52:58,
user_00116,,,active,2025-01-24 00:04:41,
user_00120,,,active,2025-05-14 11:33:29,
user_00122,,,active,2025-04-04 10:28:54,
user_00123,,,active,2025-04-21 23:23:29,
user_00125,,,active,2025-04-09 05:55:55,
user_00126,,,active,2025-03-07 06:07:42,
user_00128,,,active,2025-06-05 00:41:10,
user_00132,,,active,2025-02-06 22:16:51,
user_00134,,,active,2025-05-09 00:35:07,
