user_id,user_lat,user_lng,user_status,timestamp
0,10.79907,106.70489,idle,2025-12-26 22:25:56
1,10.72469,106.79785,idle,2025-12-26 22:25:56
2,10.87803,106.66403,requesting,2025-12-26 22:25:56
3,10.72695,106.75646,idle,2025-12-26 22:25:56
4,10.7259,106.76133,idle,2025-12-26 22:25:56
5,10.71696,106.75171,idle,2025-12-26 22:25:56
6,10.72742,106.74383,idle,2025-12-26 22:25:56
7,10.78708,106.7536,idle,2025-12-26 22:25:56
8,10.81935,106.62549,idle,2025-12-26 22:25:56
9,10.87523,106.7189,idle,2025-12-26 22:25:56
10,10.79662,106.60919,idle,2025-12-26 22:25:56
11,10.77392,106.63148,idle,2025-12-26 22:25:56
12,10.8492,106.7643,idle,2025-12-26 22:25:56
13,10.70896,106.61258,idle,2025-12-26 22:25:56
14,10.86437,106.69945,requesting,2025-12-26 22:25:56
15,10.74126,106.74336,requesting,2025-12-26 22:25:56
16,10.76446,106.6547,requesting,2025-12-26 22:25:56
17,10.76804,106.66831,idle,2025-12-26 22:25:56
18,10.86623,106.60014,idle,2025-12-26 22:25:56
19,10.84902,106.7045,idle,2025-12-26 22:25:56
20,10.82004,106.77571,idle,2025-12-26 22:25:56
21,10.73595,106.67239,requesting,2025-12-26 22:25:56
22,10.7679,106.63004,idle,2025-12-26 22:25:56
23,10.88164,106.77942,idle,2025-12-26 22:25:56
24,10.73984,106.61753,requesting,2025-12-26 22:25:56
25,10.80301,106.67429,idle,2025-12-26 22:25:56
26,10.70333,106.72252,requesting,2025-12-26 22:25:56
27,10.75763,106.62988,requesting,2025-12-26 22:25:56
28,10.72538,106.74357,requesting,2025-12-26 22:25:56
29,10.70133,106.61704,requesting,2025-12-26 22:25:56
30,10.88427,106.71573,idle,2025-12-26 22:25:56
31,10.87782,106.64524,requesting,2025-12-26 22:25:56
32,10.85857,106.65543,requesting,2025-12-26 22:25:56
33,10.75621,106.60619,idle,2025-12-26 22:25:56
34,10.8024,106.65305,requesting,2025-12-26 22:25:56
35,10.83618,106.72704,idle,2025-12-26 22:25:56
36,10.81835,106.7088,idle,2025-12-26 22:25:56
37,10.70903,106.62972,requesting,2025-12-26 22:25:56
38,10.78542,106.70618,requesting,2025-12-26 22:25:56
39,10.71855,106.69842,requesting,2025-12-26 22:25:56
40,10.80045,106.73063,requesting,2025-12-26 22:25:56
41,10.8608,106.71337,requesting,2025-12-26 22:25:56
42,10.8723,106.63252,idle,2025-12-26 22:25:56
43,10.76876,106.69263,idle,2025-12-26 22:25:56
44,10.86215,106.73586,idle,2025-12-26 22:25:56
45,10.80079,106.69033,idle,2025-12-26 22:25:56
46,10.85526,106.77419,requesting,2025-12-26 22:25:56
47,10.7834,106.75345,idle,2025-12-26 22:25:56
48,10.80045,106.79007,requesting,2025-12-26 22:25:56
49,10.73908,106.75144,idle,2025-12-26 22:25:56
50,10.86479,106.62982,idle,2025-12-26 22:25:56
